,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,Total
2020-03-01,5.0,9.0,9.0,3.0,2.0,0.0,0.0,0.0,28.0
2020-03-02,5.0,9.0,9.0,3.0,2.0,0.0,0.0,0.0,28.0
2020-03-03,9.0,9.0,10.0,3.0,2.0,0.0,0.0,0.0,33.0
2020-03-04,16.0,10.0,11.0,5.0,2.0,0.0,0.0,0.0,44.0
2020-03-05,22.0,10.0,13.0,7.0,3.0,0.0,0.0,0.0,55.0
2020-03-06,28.0,10.0,14.0,7.0,3.0,1.0,0.0,0.0,63.0
2020-03-07,36.0,11.0,14.0,7.0,3.0,1.0,0.0,0.0,72.0
2020-03-08,38.0,12.0,15.0,7.0,4.0,2.0,0.0,0.0,78.0
2020-03-09,47.0,15.0,15.0,7.0,6.0,2.0,0.0,0.0,92.0
2020-03-10,61.0,18.0,18.0,7.0,6.0,2.0,0.0,0.0,112.0
2020-03-11,65.0,21.0,20.0,9.0,9.0,3.0,0.0,0.0,127.0
2020-03-12,78.0,27.0,27.0,12.0,9.0,3.0,0.0,1.0,157.0
2020-03-13,92.0,36.0,35.0,16.0,14.0,4.0,0.0,1.0,198.0
2020-03-14,112.0,49.0,46.0,19.0,14.0,5.0,0.0,1.0,246.0
2020-03-15,134.0,57.0,61.0,20.0,14.0,6.0,0.0,1.0,293.0
2020-03-16,171.0,71.0,68.0,29.0,28.0,6.0,0.0,2.0,375.0
2020-03-17,210.0,94.0,78.0,32.0,31.0,7.0,0.0,2.0,454.0
2020-03-18,267.0,121.0,94.0,37.0,35.0,10.0,0.0,3.0,567.0
2020-03-19,307.0,150.0,144.0,42.0,52.0,10.0,0.0,4.0,709.0
2020-03-20,436.0,178.0,184.0,50.0,64.0,10.0,2.0,6.0,930.0
2020-03-21,533.0,229.0,221.0,57.0,90.0,16.0,5.0,9.0,1160.0
2020-03-22,669.0,296.0,259.0,100.0,120.0,22.0,5.0,19.0,1490.0
2020-03-23,704.0,355.0,319.0,134.0,140.0,28.0,5.0,32.0,1717.0
2020-03-24,1029.0,411.0,397.0,170.0,175.0,28.0,6.0,39.0,2255.0
2020-03-25,1219.0,466.0,443.0,197.0,205.0,42.0,6.0,44.0,2622.0
2020-03-26,1405.0,520.0,493.0,235.0,231.0,47.0,12.0,53.0,2996.0
2020-03-27,1617.0,574.0,555.0,257.0,255.0,58.0,12.0,62.0,3390.0
2020-03-28,1791.0,685.0,625.0,287.0,278.0,58.0,14.0,71.0,3809.0
2020-03-29,1918.0,769.0,656.0,299.0,311.0,62.0,14.0,77.0,4106.0
2020-03-30,2032.0,821.0,689.0,305.0,355.0,65.0,14.0,78.0,4359.0
2020-03-31,2032.0,917.0,743.0,337.0,364.0,68.0,16.0,80.0,4557.0
2020-04-01,2182.0,968.0,781.0,367.0,392.0,71.0,18.0,84.0,4863.0
2020-04-02,2298.0,1036.0,835.0,385.0,400.0,74.0,20.0,88.0,5136.0
2020-04-03,2389.0,1085.0,873.0,396.0,422.0,80.0,22.0,91.0,5358.0
2020-04-04,2493.0,1115.0,900.0,396.0,422.0,80.0,22.0,93.0,5521.0
2020-04-05,2580.0,1135.0,907.0,409.0,453.0,82.0,25.0,96.0,5687.0
2020-04-06,2637.0,1158.0,921.0,411.0,460.0,86.0,27.0,96.0,5796.0
2020-04-07,2686.0,1191.0,921.0,411.0,460.0,89.0,27.0,96.0,5881.0
